index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
1860,2.2600000,-1.7000000,-0.5200000,-0.0732000,-0.1093000,1.3579000,0.4310338,0.1357454,-0.2371205,0.0034566,-0.0220479,0.9945767,0
1861,-2.1800000,3.3000000,-0.5200000,-0.1147000,-0.0615000,1.3115000,0.8328870,0.5138637,-0.2166874,0.0019561,-0.0234730,0.9998685,0
1862,1.2800000,8.1200000,-0.0300000,0.0317000,0.0444000,0.8105000,1.0072392,0.9765754,-0.2181079,-0.0046040,-0.0262750,1.0191669,0
1863,4.8200000,5.0700000,-0.7000000,0.1298000,0.0615000,0.5878000,1.1425787,1.6891363,-0.2272043,-0.0068650,-0.0241779,1.0203703,0
1864,4.8200000,-1.5100000,-1.0100000,0.0454000,-0.0517000,1.0249000,1.4537038,2.3468405,-0.2637896,-0.0010015,-0.0185669,0.9996432,0
1865,0.6100000,1.2200000,-0.7700000,-0.1059000,-0.1127000,1.4931000,1.8391196,2.6458030,-0.3361535,0.0051431,-0.0165817,0.9890034,0
1866,-0.6600000,7.3900000,-0.3400000,-0.0556000,-0.0200000,1.0893000,2.0466124,2.7920901,-0.4136007,0.0042123,-0.0199432,1.0051627,0
1867,1.8300000,7.8200000,-0.1500000,0.1020000,0.0937000,0.5639000,2.0377701,3.1399991,-0.4621790,0.0009653,-0.0216819,1.0198434,0
1868,4.7600000,1.8300000,-0.7000000,0.1132000,-0.0029000,0.7397000,2.0242449,3.6101566,-0.4831181,0.0040591,-0.0177515,1.0067139,0
1869,1.7100000,-1.3900000,-0.2800000,-0.0371000,-0.0913000,1.3505000,2.1152446,3.8243177,-0.4944894,0.0115675,-0.0138730,0.9855793,0
1870,-2.1200000,4.5800000,0.0800000,-0.0815000,-0.0444000,1.3491000,2.1253878,3.7273522,-0.4857567,0.0146003,-0.0148882,0.9890450,0
1871,-0.5400000,7.9400000,0.2600000,0.0664000,0.0644000,0.8056000,1.8994974,3.6812418,-0.4383218,0.0126873,-0.0166669,1.0093050,0
1872,1.5300000,3.8500000,-0.4600000,0.1298000,0.0576000,0.5629000,1.5684898,3.8441686,-0.3698758,0.0140783,-0.0136170,1.0119755,0
1873,2.2000000,-1.2100000,-0.5200000,0.0419000,-0.0537000,1.0268000,1.3249889,3.9296496,-0.3199628,0.0212281,-0.0080385,0.9918034,0
1874,-1.8200000,-0.0500000,0.3200000,-0.0864000,-0.0820000,1.4687000,1.1449209,3.6965056,-0.2859457,0.0266629,-0.0064619,0.9812355,0
1875,-3.1000000,6.4700000,0.6900000,-0.0366000,0.0087000,1.0991000,0.8462801,3.3536555,-0.2248902,0.0246427,-0.0091291,0.9973199,0
1876,-1.3300000,4.8300000,0.3200000,0.1049000,0.0883000,0.5566000,0.3989822,3.2202346,-0.1270976,0.0202688,-0.0096304,1.0123396,0
1877,2.8100000,-1.0200000,-0.2200000,0.0766000,0.0141000,0.7221000,0.0208095,3.1794319,-0.0318754,0.0208522,-0.0051736,0.9995804,0
1878,0.5500000,-3.3400000,0.2000000,-0.0566000,-0.0893000,1.2915000,-0.1262004,2.8868025,0.0333628,0.0235980,-0.0013534,0.9772179,0
1879,-2.5500000,0.8600000,0.6300000,-0.0390000,0.0278000,1.1137000,-0.1830339,2.3298471,0.0887908,0.0219450,-0.0015399,0.9731168,0
1880,-2.0000000,2.2600000,0.5700000,0.0830000,0.1113000,0.5834000,-0.3363264,1.7983316,0.1579760,0.0180856,0.0000226,0.9747008,0
1881,3.3600000,-2.2400000,0.2600000,0.0722000,0.0107000,0.7504000,-0.4716885,1.3760388,0.2304265,0.0181582,0.0062667,0.9582862,0
1882,0.1200000,-4.7500000,0.8100000,-0.0629000,-0.0625000,1.2265000,-0.4234074,0.8546777,0.2965402,0.0200497,0.0111778,0.9372663,0
1883,-1.3300000,-0.9600000,1.3000000,-0.1103000,-0.0083000,1.4091000,-0.3128391,0.1965840,0.3789853,0.0163605,0.0109673,0.9411258,0
1884,-2.7300000,3.3600000,0.9300000,0.0102000,0.0830000,0.9096000,-0.3226339,-0.3077537,0.4885783,0.0071913,0.0100296,0.9674962,0
1885,-0.7800000,-0.2300000,0.2600000,0.0913000,0.0664000,0.4892000,-0.4550286,-0.4954275,0.5883018,0.0007611,0.0131232,0.9813465,0
1886,2.9300000,-5.1700000,0.3200000,0.0200000,-0.0161000,0.9609000,-0.5306995,-0.6215822,0.6405469,0.0008496,0.0180637,0.9686100,0
1887,-0.8400000,-4.6200000,0.9300000,-0.1235000,-0.0654000,1.4501000,-0.4514448,-0.9576242,0.6593495,0.0009948,0.0191546,0.9601735,0
