cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.639297251922499,1.4093969848735846,100.00500000000301,2.0852150487110555,0.35,0.18,25.0,600.0,25.0,1,0.35,200.0
3.6393462695130303,1.4073585216090714,100.00500000000301,2.0911792797254685,0.35,0.18,40.0,600.0,12.5,1,0.35,200.0
3.6397304305663303,1.391294048131742,100.00500000000301,2.138175378384409,0.35,0.12,25.0,600.0,12.5,1,0.35,150.0
3.639793033169176,1.397153778520609,100.00500000000301,2.1216121561386334,0.2,0.18,40.0,400.0,12.5,1,0.55,200.0
3.6400010841806996,1.4127204253420325,100.00500000000301,2.0777304538246346,0.1,0.18,40.0,600.0,25.0,1,0.35,200.0
3.6405407170912953,1.3810582785677465,100.00500000000301,2.169735538638582,0.2,0.18,15.0,400.0,25.0,1,0.55,150.0
3.641511183645953,1.376925842437273,100.00500000000301,2.1843152605961,0.35,0.35,25.0,600.0,25.0,1,0.55,150.0
3.641879821275278,1.4125164558235532,100.00500000000301,2.083681044147656,0.2,0.12,15.0,600.0,25.0,1,0.35,200.0
3.6425825813259505,1.400724467495325,100.00500000000301,2.1193803252302295,0.2,0.18,15.0,300.0,25.0,1,0.55,150.0
3.642905013117368,1.4030368754044158,100.00500000000301,2.1136946791797344,0.1,0.18,25.0,300.0,12.5,1,0.55,150.0
3.6431458395252565,1.3946779632229018,100.00500000000301,2.1382653608637407,0.35,0.12,15.0,600.0,25.0,1,0.35,150.0
3.643234252172797,1.4181740344628075,100.00500000000301,2.071386336314128,0.1,0.12,40.0,600.0,12.5,1,0.55,350.0
3.6433749862509437,1.4189996134795853,100.00500000000301,2.0694296364894673,0.1,0.12,15.0,600.0,25.0,1,0.35,200.0
3.643380196096679,1.4461441958886934,100.00500000000301,1.9918885720226875,0.35,0.35,25.0,400.0,12.5,1,0.35,200.0
3.643608361000601,1.3768487942025558,100.00500000000301,2.1905273337085713,0.2,0.18,25.0,600.0,25.0,1,0.55,200.0
3.6436376181671517,1.4477269843838443,100.00500000000301,1.9881018108093218,0.35,0.35,15.0,300.0,12.5,1,0.35,150.0
3.6437322983836,1.3669015963554167,100.00500000000301,2.21930200579468,0.2,0.35,25.0,600.0,25.0,1,0.55,150.0
3.6437779494294213,1.4044814294293562,100.00500000000301,2.1120614857143436,0.1,0.18,25.0,400.0,25.0,1,0.55,200.0
3.6438561327098213,1.4236604352251663,100.00500000000301,2.057487707098886,0.1,0.18,25.0,400.0,12.5,1,0.35,150.0
3.6439137744167738,1.3781578945013304,100.00500000000301,2.187659656901137,0.35,0.35,40.0,600.0,12.5,1,0.55,150.0
3.6440535176775963,1.416533959886251,100.00500000000301,2.078413022260859,0.2,0.18,40.0,400.0,25.0,1,0.35,150.0
3.6444480187953974,1.4030927598548462,100.00500000000301,2.1179435969728746,0.1,0.18,40.0,400.0,12.5,1,0.55,200.0
3.6444677509820957,1.3804250838125378,100.00500000000301,2.1827647633414653,0.1,0.18,25.0,600.0,12.5,1,0.55,200.0
3.644508943158006,1.38427064121709,100.00500000000301,2.1718951484024887,0.1,0.12,15.0,600.0,12.5,1,0.55,200.0
