time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
2.720180,12.660000,12.557429,6.980000,5.354700,12.589351,6.254976
2.740181,12.540000,12.658812,6.250000,5.144118,12.660875,5.967336
2.760183,12.840000,12.759272,6.650000,4.722184,12.797656,6.242309
2.780182,12.740000,12.848045,5.650000,4.605138,12.869083,5.928489
2.800186,13.040000,12.941417,6.190000,4.262358,13.004295,6.176733
2.820186,12.940000,13.023616,5.270000,4.229550,13.074643,5.848363
2.840189,13.230000,13.108726,5.840000,3.971098,13.205342,6.057992
2.860190,13.120000,13.179069,4.910000,4.056749,13.269431,5.686751
2.880175,13.410000,13.263478,5.490000,3.757415,13.394769,5.875466
2.920192,13.570000,13.415549,6.190000,3.266361,13.620125,6.075796
2.940195,13.350000,13.473317,5.220000,3.318603,13.624417,5.426495
2.960191,13.340000,13.549882,5.720000,3.153443,13.622957,4.821012
2.980196,13.640000,13.599778,5.110000,3.012703,13.708059,4.974091
3.000194,13.660000,13.675941,5.030000,2.983279,13.773643,4.898916
3.020199,13.790000,13.729749,4.620000,3.066307,13.856583,4.992986
3.040195,13.800000,13.806582,5.130000,3.191390,13.918519,4.946538
3.060202,13.890000,13.862801,4.860000,3.332620,13.987927,4.926854
3.080198,13.890000,13.941118,4.820000,3.461068,14.037138,4.756588
3.100206,14.000000,13.997850,4.410000,3.525129,14.102176,4.726206
3.120201,14.000000,14.075316,4.400000,3.551531,14.148035,4.514150
3.140207,14.110000,14.122090,3.900000,3.431420,14.209984,4.453158
3.160203,14.110000,14.196117,3.820000,3.325287,14.253188,4.227369
3.180209,14.300000,14.246412,3.750000,2.905038,14.335250,4.334806
3.200205,14.310000,14.313685,3.620000,2.491170,14.396581,4.224578
3.220210,14.310000,14.351686,3.080000,2.137279,14.439174,3.974108
3.240212,14.620000,14.386553,4.360000,2.098029,14.554158,4.339037
3.260215,14.420000,14.420517,3.340000,1.714922,14.582167,3.940046
3.280215,14.620000,14.443060,3.690000,1.321896,14.655403,3.972865
3.300217,14.430000,14.471908,2.320000,1.011203,14.654274,3.402522
3.320219,14.620000,14.491197,2.620000,0.726592,14.702315,3.348780
3.340219,14.420000,14.525764,1.440000,0.749968,14.679269,2.743868
3.360219,14.610000,14.542884,1.820000,0.664006,14.710832,2.696753
3.380221,14.400000,14.573008,0.750000,0.809515,14.672735,2.101926
3.400224,14.700000,14.588337,1.820000,0.893189,14.723913,2.333114
3.420224,14.420000,14.623300,0.620000,1.309348,14.681836,1.765394
3.440224,14.730000,14.644547,1.720000,1.644282,14.733270,2.056309
3.460226,14.540000,14.691186,1.050000,2.165380,14.717117,1.735043
3.480227,14.740000,14.722824,1.720000,2.424932,14.758221,1.930339
3.500230,14.620000,14.771911,1.240000,3.068350,14.754081,1.699761
3.520231,14.800000,14.834577,1.770000,3.218920,14.799015,1.888366
3.540216,14.980000,14.899292,2.670000,3.674647,14.881740,2.308703
3.560228,14.980000,14.966304,2.790000,3.617860,14.943307,2.461709
3.580231,15.170000,15.040684,3.450000,3.962194,15.041733,2.873014
3.600235,14.980000,15.124150,2.270000,3.941786,15.062295,2.574805
3.620235,15.290000,15.198159,3.230000,4.062735,15.162663,2.995820
3.640239,15.190000,15.273417,2.840000,3.787869,15.209902,2.894976
3.660242,15.500000,15.345101,4.010000,3.878517,15.330739,3.403246
3.680240,15.310000,15.419432,3.060000,3.419662,15.368306,3.133333
3.700240,15.610000,15.489512,3.890000,3.526554,15.478611,3.500610
3.720245,15.420000,15.557675,2.810000,3.062977,15.507745,3.146454
3.740242,15.810000,15.620758,4.100000,3.035304,15.636428,3.658268
3.760247,15.610000,15.675307,3.120000,2.646545,15.676667,3.352550
3.780247,15.810000,15.734624,3.410000,2.821413,15.760491,3.462756
3.800248,15.710000,15.782409,2.640000,2.710692,15.793857,3.142795
3.820248,16.010000,15.851477,3.540000,2.781006,15.900079,3.459072
3.840249,15.810000,15.900403,2.490000,2.663613,15.922451,3.042364
3.880251,15.920000,16.007350,2.400000,2.655477,16.005738,2.746492
3.900255,16.120000,16.078719,2.890000,2.832423,16.082958,2.994351
3.920256,16.020000,16.124731,2.580000,2.951703,16.107070,2.809950
3.940256,16.300000,16.199975,3.690000,3.047452,16.206450,3.237459
3.960258,16.090000,16.252397,2.630000,3.266078,16.217616,2.872316
3.980261,16.390000,16.317030,3.410000,3.165150,16.310549,3.212651
4.000261,16.290000,16.359856,2.800000,3.231444,16.349983,3.042465
4.020258,16.590000,16.432031,3.800000,3.115891,16.462790,3.513111
4.040263,16.390000,16.483804,3.200000,3.086942,16.490110,3.310008
4.060264,16.680000,16.556987,4.540000,3.153792,16.591440,3.726517
4.080265,16.490000,16.608056,3.420000,3.103842,16.613819,3.406961
4.100268,16.800000,16.683272,4.160000,2.902159,16.716007,3.773640
4.120266,16.620000,16.741151,3.090000,2.840258,16.741475,3.450671
4.140271,17.020000,16.806474,4.400000,2.924144,16.870676,4.005856
