cost,pos_rmse,vel_rmse,lag_x_ms,lag_y_ms,quiet_vel_rms,closure_cm,used_rate,reject_rate,q_pos,q_vel,r_vel,vel_gate
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,3.0,350.0,1400.0,140.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,3.0,350.0,1400.0,180.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,3.0,350.0,1400.0,240.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,5.0,350.0,1400.0,90.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,5.0,350.0,1400.0,140.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,5.0,350.0,1400.0,180.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,5.0,350.0,1400.0,240.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,10.0,350.0,1400.0,90.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,10.0,350.0,1400.0,140.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,10.0,350.0,1400.0,180.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,10.0,350.0,1400.0,240.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,20.0,350.0,1400.0,90.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,20.0,350.0,1400.0,140.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,20.0,350.0,1400.0,180.0
10.791038205196296,3.3537250321614387,5.80461298954422,180.01799999999866,220.0219999999984,3.7606447824474323,24.85288322250116,0.9568733153638814,0.0,20.0,350.0,1400.0,240.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,1.0,200.0,900.0,90.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,1.0,200.0,900.0,140.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,1.0,200.0,900.0,180.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,1.0,200.0,900.0,240.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,3.0,200.0,900.0,90.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,3.0,200.0,900.0,140.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,3.0,200.0,900.0,180.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,3.0,200.0,900.0,240.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,5.0,200.0,900.0,90.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,5.0,200.0,900.0,140.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,5.0,200.0,900.0,180.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,5.0,200.0,900.0,240.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,10.0,200.0,900.0,90.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,10.0,200.0,900.0,140.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,10.0,200.0,900.0,180.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,10.0,200.0,900.0,240.0
11.334029208551287,3.927509580485861,5.951870516643993,180.01799999999866,220.0219999999984,3.812563415336222,24.11728103751165,0.9568733153638814,0.0,20.0,200.0,900.0,90.0
