time_s,flow_x_cm,flow_y_cm,flow_vx_cm_s,flow_vy_cm_s,obs_vx_cm_s,obs_vy_cm_s,logged_ekf_x_cm,logged_ekf_y_cm,logged_ekf_vx_cm_s,logged_ekf_vy_cm_s,replay_x_cm,replay_y_cm,replay_vx_cm_s,replay_vy_cm_s,replay_used,replay_rejected,replay_innov_x_cm_s,replay_innov_y_cm_s
0.920061,-74.150000,-71.680000,0.200000,24.500000,0.000000,18.700000,-66.560000,-115.430000,0.500000,22.100000,-74.857075,-72.074826,0.338077,23.112505,1.000000,0.000000,-0.397549,-5.188722
0.960062,-74.010000,-71.520000,2.200000,14.500000,7.000000,8.300000,-66.540000,-114.610000,1.300000,17.500000,-74.843552,-71.150303,1.431063,20.682295,1.000000,0.000000,6.661923,-14.812505
0.980062,-74.010000,-71.520000,1.500000,10.100000,0.000000,0.000000,-66.510000,-114.260000,1.100000,15.000000,-74.814930,-70.736657,1.205210,17.418165,1.000000,0.000000,-1.431063,-20.682295
1.000064,-73.630000,-71.080000,6.700000,13.500000,18.900000,21.500000,-66.490000,-113.960000,3.700000,15.900000,-74.790824,-70.388259,3.919118,18.044209,1.000000,0.000000,17.694790,4.081835
1.040064,-73.640000,-70.020000,3.300000,20.600000,0.000000,30.600000,-66.350000,-113.300000,2.700000,18.800000,-74.634059,-69.666491,3.265823,20.137189,1.000000,0.000000,-3.919118,12.555791
1.060067,-73.640000,-69.290000,2.300000,25.300000,0.000000,36.400000,-66.300000,-112.920000,2.300000,21.300000,-74.568733,-69.263687,2.744317,22.734132,1.000000,0.000000,-3.265823,16.262811
1.080068,-73.640000,-68.870000,1.600000,23.900000,0.000000,20.700000,-66.250000,-112.500000,2.000000,21.200000,-74.513844,-68.808981,2.319754,22.419439,1.000000,0.000000,-2.744317,-2.034132
1.100066,-73.750000,-68.870000,-0.500000,16.700000,-5.500000,0.000000,-66.210000,-112.070000,0.900000,18.200000,-74.467453,-68.360637,1.137953,19.031183,1.000000,0.000000,-7.819754,-22.419439
1.120071,-73.680000,-68.870000,0.600000,11.700000,3.300000,0.000000,-66.190000,-111.700000,1.200000,15.600000,-74.444688,-67.979918,1.459129,16.204068,1.000000,0.000000,2.162047,-19.031183
1.140068,-73.460000,-68.870000,3.700000,8.200000,11.000000,0.000000,-66.170000,-111.390000,2.600000,13.400000,-74.415510,-67.655886,2.858502,13.827395,1.000000,0.000000,9.540871,-16.204068
