LOC_LOG_BEGIN
_us,dt_ms,armed,phase,voltage,loc_ready,loc_hold,loc_weight,yaw_deg,pos_err_x_e,pos_err_y_e,vel_x_e,vel_y_e,vel_tgt_x_e,vel_tgt_y_e,vel_err_x_b,vel_err_y_b,loc_raw_roll,loc_raw_pitch,loc_trim_roll,loc_trim_pitch,loc_ramped_roll,loc_ramped_pitch,loc_vel_p_x,loc_vel_i_x,loc_vel_d_x,loc_vel_p_y,loc_vel_i_y,loc_vel_d_y,roll_tgt,roll_cur,pitch_tgt,pitch_cur,sp_rate_ff_roll,sp_rate_ff_pitch,rate_tgt_r,rate_fb_r,rate_out_r,rate_p_r,rate_i_r,rate_d_r,rate_tgt_p,rate_fb_p,rate_out_p,imu_acc_body_y_m_s2,flow_obs_vx_e,flow_obs_vy_e,ekf_vx_e,ekf_vy_e,flow_valid,flow_obs_valid,flow_ekf_used,flow_gate_clipped,throttle,height_cm,vel_z_cm_s,m1,m2,m3,m4,att_voltage_scale,goal_pos_x_e,goal_pos_y_e,profile_pos_x_e,profile_pos_y_e,profile_vel_x_e,profile_vel_y_e
107,33655437,20.00,1,3,10.18,1,1,1.00,-5.92,14.46,-136.98,-3.52,20.47,0.84,-8.59,7.25,-27.23,-3.30,-1.03,0.00,0.00,-3.30,-1.03,0.95,0.26,-0.19,-2.46,-0.47,0.01,-3.30,-2.23,-1.03,-2.16,0.19,1.61,-4.26,4.57,-2.40,-0.62,0.19,-1.95,6.31,3.05,-0.49,0.0072,7.13,68.73,-3.52,20.47,1,1,1,1,37.87,104.89,1.68,5136,6470,5966,5898,1.004,0.00,0.00,-10.26,97.21,0.00,0.00
108,33675423,19.99,1,3,10.18,1,1,1.00,-5.92,14.53,-137.39,-2.54,22.93,0.85,-8.59,6.57,-29.19,-3.69,-0.93,0.00,0.00,-3.69,-0.93,0.86,0.27,-0.20,-2.64,-0.47,-0.11,-3.69,-2.11,-0.93,-2.10,-2.22,1.67,-9.14,12.86,-3.07,-2.14,0.18,-1.10,6.59,6.02,-0.44,0.3167,8.81,84.89,-2.54,22.93,1,1,1,1,37.58,104.98,3.26,5031,6625,5930,5957,1.003,0.00,0.00,-10.32,97.62,0.00,0.00
109,33695445,20.02,1,3,10.18,1,1,1.00,-5.94,14.58,-137.85,-2.34,21.12,0.85,-8.59,6.08,-28.91,-3.57,-0.86,0.00,0.00,-3.57,-0.86,0.80,0.27,-0.20,-2.61,-0.47,-0.07,-3.57,-1.82,-0.86,-1.92,-0.73,1.47,-8.50,18.16,-3.60,-3.41,0.16,-0.35,5.79,14.23,-1.75,0.7726,0.00,0.00,-2.34,21.12,1,1,1,0,37.61,104.96,3.15,4785,6447,5960,6197,1.003,0.00,0.00,-10.37,98.07,0.00,0.00
110,33715428,19.98,1,3,10.18,1,1,1.00,-5.94,14.63,-138.27,-2.98,21.50,0.85,-8.59,6.28,-28.98,-3.58,-0.95,0.00,0.00,-3.58,-0.95,0.82,0.27,-0.14,-2.62,-0.47,-0.06,-3.58,-1.61,-0.95,-1.68,-0.52,0.45,-9.35,3.95,0.01,-1.55,0.15,1.41,2.97,12.09,-0.80,1.1197,-10.44,25.85,-2.98,21.50,1,1,1,0,37.36,105.08,4.51,5397,6093,6306,5606,1.003,0.00,0.00,-10.42,98.50,0.00,0.00
111,33735432,20.00,1,3,10.19,1,1,1.00,-5.95,14.69,-138.70,-3.00,19.04,0.85,-8.59,6.23,-27.54,-3.27,-0.96,0.00,0.00,-3.27,-0.96,0.82,0.27,-0.12,-2.49,-0.48,0.04,-3.27,-1.65,-0.96,-1.52,1.52,0.18,-5.61,-11.10,1.76,0.22,0.15,1.38,1.96,5.35,0.07,0.8657,-3.28,-31.44,-3.00,19.04,1,1,1,1,37.73,104.98,2.48,5651,6002,6448,5170,1.002,0.00,0.00,-10.47,98.93,0.00,0.00
112,33755451,20.02,1,3,10.19,1,1,1.00,-5.97,14.75,-139.09,-1.45,16.59,0.85,-8.59,5.13,-25.60,-2.92,-0.76,0.00,0.00,-2.92,-0.76,0.67,0.27,-0.18,-2.31,-0.48,0.15,-2.92,-1.88,-0.76,-1.50,2.80,1.36,-1.43,-18.23,2.61,1.58,0.16,0.87,3.91,-4.47,1.69,0.6117,16.80,-34.73,-1.45,16.59,1,1,1,1,37.52,105.09,3.60,6046,6133,6375,4911,1.002,0.00,0.00,-10.53,99.31,0.00,0.00
113,33775449,20.00,1,3,10.19,1,1,1.00,-5.97,14.77,-139.42,-0.00,16.59,0.85,-8.59,3.83,-24.91,-2.85,-0.53,0.00,0.00,-2.85,-0.53,0.50,0.27,-0.24,-2.25,-0.48,0.17,-2.85,-2.09,-0.53,-1.57,2.23,2.32,-0.43,-6.42,-0.76,0.62,0.16,-1.55,6.58,-4.23,1.05,0.2567,16.95,16.63,-0.00,16.59,1,1,1,0,37.52,105.09,3.60,5536,6419,5940,5460,1.002,0.00,0.00,-10.56,99.64,0.00,0.00
114,33795458,20.01,1,3,10.19,1,1,1.00,-5.95,14.77,-139.75,0.54,19.04,0.85,-8.59,3.14,-26.14,-3.15,-0.43,0.00,0.00,-3.15,-0.43,0.41,0.27,-0.25,-2.36,-0.48,0.06,-3.15,-2.02,-0.43,-1.59,-0.37,2.10,-5.07,9.54,-2.76,-1.24,0.16,-1.67,6.93,-1.16,0.75,0.3130,6.87,65.89,0.54,19.04,1,1,1,1,37.33,105.21,4.61,5256,6620,5694,5786,1.001,0.00,0.00,-10.57,99.97,0.00,0.00
115,33815456,20.00,1,3,10.20,1,1,1.00,-5.95,14.76,-140.13,-1.07,21.49,0.84,-8.59,3.97,-27.99,-3.51,-0.65,0.00,0.00,-3.51,-0.65,0.52,0.27,-0.13,-2.53,-0.49,-0.07,-3.51,-1.77,-0.65,-1.52,-2.48,0.00,-10.23,17.17,-3.63,-2.77,0.15,-1.00,3.32,6.50,-0.80,0.7906,-19.90,62.24,-1.07,21.49,1,1,1,1,37.32,105.21,4.61,4870,6547,5800,6038,1.001,0.00,0.00,-10.57,100.35,0.00,0.00
116,33835267,19.81,1,3,10.20,1,1,1.00,-5.95,14.79,-140.56,-1.07,21.49,0.84,-8.59,4.30,-28.73,-3.61,-0.75,0.00,0.00,-3.61,-0.75,0.56,0.27,-0.08,-2.59,-0.49,-0.10,-3.61,-1.50,-0.75,-1.36,-2.24,-0.59,-11.82,11.71,-2.21,-2.74,0.14,0.38,1.38,11.15,-1.63,0.8318,0.00,0.00,-1.07,21.49,1,0,0,0,37.28,105.31,4.84,4954,6242,6087,5969,1.000,0.00,0.00,-10.60,100.78,0.00,0.00
117,33855420,20.15,1,3,10.20,1,1,1.00,-5.96,14.81,-140.99,-3.00,22.50,0.84,-8.59,5.65,-29.51,-3.74,-1.05,0.00,0.00,-3.74,-1.05,0.74,0.27,0.04,-2.66,-0.49,-0.13,-3.74,-1.42,-1.05,-1.15,-2.22,-2.21,-12.63,-6.56,1.61,-0.66,0.13,2.13,-1.87,8.49,-0.78,0.8125,-24.05,33.48,-3.00,22.50,1,1,1,0,37.28,105.31,4.84,5524,5884,6513,5306,1.000,0.00,0.00,-10.63,101.21,0.00,0.00
118,33875427,20.01,1,3,10.20,1,1,1.00,-5.98,14.87,-141.44,-3.19,19.90,0.84,-8.59,6.14,-28.26,-3.44,-1.14,0.00,0.00,-3.44,-1.14,0.80,0.27,0.07,-2.55,-0.49,-0.03,-3.44,-1.67,-1.14,-1.05,0.36,-2.02,-7.53,-18.30,1.93,0.71,0.13,1.09,-2.32,-0.30,0.44,0.4703,-5.23,-31.96,-3.19,19.90,1,1,1,1,37.51,105.30,3.54,5719,6010,6404,5094,1.000,0.00,0.00,-10.69,101.66,0.00,0.00
119,33895427,20.00,1,3,10.20,1,1,1.00,-5.98,14.93,-141.84,-1.59,17.33,0.84,-8.59,5.23,-26.32,-3.07,-0.94,0.00,0.00,-3.07,-0.94,0.69,0.27,-0.02,-2.38,-0.49,0.10,-3.07,-2.00,-0.94,-1.12,2.52,-0.07,-1.92,-14.75,0.75,0.90,0.14,-0.29,0.51,-7.90,1.34,0.1925,16.12,-55.13,-1.59,17.33,1,1,1,1,37.51,105.30,3.54,5759,6269,6112,5208,1.000,0.00,0.00,-10.74,102.06,0.00,0.00
120,33915431,20.00,1,3,10.20,1,1,1.00,-5.96,14.96,-142.18,0.96,15.96,0.84,-8.59,3.25,-24.89,-2.84,-0.53,0.00,0.00,-2.84,-0.53,0.43,0.27,-0.16,-2.25,-0.50,0.17,-2.84,-2.16,-0.53,-1.30,2.80,2.46,0.53,-3.27,-0.76,0.17,0.14,-1.07,5.15,-9.27,1.36,0.0778,37.67,0.66,0.96,15.96,1,1,1,1,37.66,105.34,2.73,5590,6443,5884,5431,0.999,0.00,0.00,-10.78,102.40,0.00,0.00

