cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.5976998280569314,1.8618264691004882,78.00600000000007,1.6165238827326927,0.35,0.22,40.0,600.0,50.0,1,0.55,150.0
3.5981969826278757,1.8624551455899165,78.00600000000007,1.6161481058227367,0.35,0.22,80.0,600.0,50.0,1,0.55,150.0
3.599292151432355,1.8627133826763218,78.00600000000007,1.6185393393029486,0.35,0.22,15.0,600.0,50.0,1,0.55,150.0
3.600291205735342,1.8764217223557615,78.00600000000007,1.5822270953702273,0.35,0.08,80.0,600.0,25.0,1,0.55,150.0
3.6009372062260674,1.86042527066922,78.00600000000007,1.6297769587338486,0.35,0.35,15.0,600.0,12.5,1,0.55,150.0
3.604973900801857,1.87998842013353,78.00600000000007,1.5854156590523603,0.35,0.08,40.0,600.0,50.0,1,0.55,150.0
3.6055734806919237,1.8807128734796308,78.00600000000007,1.5850588777494057,0.35,0.08,80.0,600.0,50.0,1,0.55,150.0
3.6067033570520417,1.8809791315993365,78.00600000000007,1.5875263584362973,0.35,0.08,15.0,600.0,50.0,1,0.55,150.0
3.60845101941125,1.8673462894347614,78.00600000000007,1.631470657075679,0.35,0.35,40.0,600.0,12.5,1,0.55,150.0
3.6159835270726868,1.8737354243741904,78.00600000000007,1.6347374362814158,0.35,0.35,80.0,600.0,12.5,1,0.55,150.0
3.61803393502528,1.87445258128272,78.00600000000007,1.6385467249787393,0.35,0.35,15.0,600.0,25.0,1,0.55,150.0
3.618437695566327,1.8754282439902321,78.00600000000007,1.6369127187888404,0.35,0.35,40.0,600.0,25.0,1,0.55,150.0
3.6214842961837066,1.8781735226680538,78.00600000000007,1.6377736386161479,0.35,0.35,80.0,600.0,25.0,1,0.55,150.0
3.6260801764505173,1.8816780485387807,78.00600000000007,1.6408917940335297,0.35,0.35,40.0,600.0,50.0,1,0.55,150.0
3.6265296346477602,1.8822610589371043,78.00600000000007,1.6405102163161571,0.35,0.35,80.0,600.0,50.0,1,0.55,150.0
3.627653591302094,1.8825658185458183,78.00600000000007,1.6428507793036426,0.35,0.35,15.0,600.0,50.0,1,0.55,150.0
3.865356990839241,1.79184755985458,104.0080000000001,1.4668269456704568,0.1,0.22,15.0,600.0,12.5,1,0.55,150.0
3.8653972001113566,1.7913263285664918,104.0080000000001,1.4684310615567522,0.1,0.35,15.0,600.0,12.5,1,0.55,150.0
3.8717068807340094,1.7992784520936345,104.0080000000001,1.463738367543924,0.1,0.12,15.0,600.0,12.5,1,0.55,150.0
3.8718704342090886,1.7983622395077985,104.0080000000001,1.4668234134322546,0.1,0.22,40.0,600.0,12.5,1,0.55,150.0
3.8718941424427005,1.7978245440695388,104.0080000000001,1.468427423923315,0.1,0.35,40.0,600.0,12.5,1,0.55,150.0
3.878280047064198,1.805854676036623,104.0080000000001,1.4637296315073534,0.1,0.12,40.0,600.0,12.5,1,0.55,150.0
3.879302870307014,1.8048645941255326,104.0080000000001,1.4694807890899435,0.1,0.22,80.0,600.0,12.5,1,0.55,150.0
3.879314762173254,1.8043183493134516,104.0080000000001,1.4710754653137186,0.1,0.35,80.0,600.0,12.5,1,0.55,150.0
