cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
2.916647425699768,1.2156829520241794,80.00400000000063,1.4311556390730829,0.2,0.22,15.0,300.0,12.5,1,0.55,150.0
2.916796548530715,1.2062754415652033,80.00400000000063,1.4584603056157206,0.35,0.08,15.0,600.0,12.5,1,0.55,150.0
2.918004795484822,1.2165301984959125,80.00400000000063,1.4326131342539987,0.2,0.22,40.0,300.0,12.5,1,0.55,150.0
2.9190924696674534,1.2077903823271405,80.00400000000063,1.4606916781151513,0.35,0.08,40.0,600.0,12.5,1,0.55,150.0
2.9202597167018522,1.2182638281791722,80.00400000000063,1.4341025386362012,0.2,0.22,80.0,300.0,12.5,1,0.55,150.0
2.9210913758051436,1.2095106820809387,80.00400000000063,1.4614876963548442,0.35,0.08,15.0,600.0,25.0,1,0.55,150.0
2.9212096451319254,1.2093388841062307,80.00400000000063,1.462316460073386,0.35,0.08,80.0,600.0,12.5,1,0.55,150.0
2.9214979363387776,1.2096310381371376,80.00400000000063,1.46230542343323,0.35,0.08,40.0,600.0,25.0,1,0.55,150.0
2.9215814199778127,1.2193816923846037,80.00400000000063,1.4346849359805702,0.2,0.22,40.0,300.0,25.0,1,0.55,150.0
2.922263097016919,1.2198525040384758,80.00400000000063,1.4352874085098106,0.2,0.22,80.0,300.0,25.0,1,0.55,150.0
2.9224065673051367,1.2102514061800769,80.00400000000063,1.4631290317858583,0.35,0.08,80.0,600.0,25.0,1,0.55,150.0
2.922428682090867,1.2202574948713731,80.00400000000063,1.4346033920556687,0.2,0.22,15.0,300.0,25.0,1,0.55,150.0
2.9234052501622907,1.2110772998830144,80.00400000000063,1.463622715083619,0.35,0.08,40.0,600.0,50.0,1,0.55,150.0
2.923623747732806,1.2111824363360657,80.00400000000063,1.4639466039906592,0.35,0.08,80.0,600.0,50.0,1,0.55,150.0
2.9236513690190344,1.2113830016149933,80.00400000000063,1.4634524782972342,0.35,0.08,15.0,600.0,50.0,1,0.55,150.0
2.9240643857482134,1.221287757639878,80.00400000000063,1.436333223166645,0.2,0.22,80.0,300.0,50.0,1,0.55,150.0
2.9242104968651095,1.221469044283048,80.00400000000063,1.4362327216630055,0.2,0.22,40.0,300.0,50.0,1,0.55,150.0
2.925537421865812,1.222652530037857,80.00400000000063,1.4366425480798437,0.2,0.22,15.0,300.0,50.0,1,0.55,150.0
2.9274720345077627,1.2244011868195976,80.00400000000063,1.4371738505375884,0.2,0.35,15.0,600.0,12.5,1,0.55,350.0
2.930675000766601,1.2262541225687,80.00400000000063,1.4410310805654047,0.2,0.35,40.0,600.0,12.5,1,0.55,350.0
2.9349203251402725,1.2215210857755647,80.00400000000063,1.4666835410419958,0.35,0.12,15.0,600.0,12.5,1,0.35,150.0
2.936235285661326,1.2304875261468349,80.00400000000063,1.4448221700413775,0.2,0.35,80.0,600.0,12.5,1,0.55,350.0
2.9380958202070926,1.223787693423523,80.00400000000063,1.4692803622387438,0.35,0.12,40.0,600.0,12.5,1,0.35,150.0
2.9394474536401485,1.2332479881905358,80.00400000000063,1.4461127584274374,0.2,0.35,40.0,600.0,25.0,1,0.55,350.0
2.9411590139373045,1.2343896386876159,80.00400000000063,1.447741072141941,0.2,0.35,80.0,600.0,25.0,1,0.55,350.0
2.9412511771395637,1.2262027448340371,80.00400000000063,1.471395520872907,0.35,0.12,80.0,600.0,12.5,1,0.35,150.0
2.9419563441447263,1.2358848537993463,80.00400000000063,1.4457471152724874,0.2,0.35,15.0,600.0,25.0,1,0.55,350.0
2.9421181635895444,1.2271176255578236,80.00400000000063,1.4712586800906033,0.35,0.12,15.0,600.0,25.0,1,0.35,150.0
2.942402769596284,1.2271466240963955,80.00400000000063,1.4719889871425125,0.35,0.12,40.0,600.0,25.0,1,0.35,150.0
2.943697926860653,1.2280951308438683,80.00400000000063,1.4729794171907862,0.35,0.12,80.0,600.0,25.0,1,0.35,150.0
2.9456204989677883,1.2379403961651647,80.00400000000063,1.4503431508646116,0.2,0.35,80.0,600.0,50.0,1,0.55,350.0
2.9456357796649018,1.2296669057568845,80.00400000000063,1.4740253540228794,0.35,0.12,40.0,600.0,50.0,1,0.35,150.0
2.945873236354032,1.2297914305102688,80.00400000000063,1.4743480166964398,0.35,0.12,80.0,600.0,50.0,1,0.35,150.0
2.9460087484416317,1.238450658035329,80.00400000000063,1.4499945440179816,0.2,0.35,40.0,600.0,50.0,1,0.55,350.0
2.9463329088400076,1.230342502196813,80.00400000000063,1.4740868761233856,0.35,0.12,15.0,600.0,50.0,1,0.35,150.0
2.9498236425844975,1.241905205307161,80.00400000000063,1.4510241065066485,0.2,0.35,15.0,600.0,50.0,1,0.55,350.0
3.0478309898663554,1.3002018996116789,80.00400000000063,1.5644831150133351,0.35,0.35,15.0,300.0,12.5,1,0.55,150.0
3.0521171683117627,1.3029479613804098,80.00400000000063,1.568883448375268,0.35,0.35,40.0,300.0,12.5,1,0.55,150.0
3.0551566389348563,1.3056846550227315,80.00400000000063,1.569748525463187,0.35,0.35,15.0,300.0,25.0,1,0.55,150.0
3.05562250413052,1.3054571057120068,80.00400000000063,1.5717297097671534,0.35,0.35,80.0,300.0,12.5,1,0.55,150.0
3.0562673349154714,1.3061132236254602,80.00400000000063,1.571697460828577,0.35,0.35,40.0,300.0,25.0,1,0.55,150.0
3.0579111509394874,1.307202722389706,80.00400000000063,1.5732812244279195,0.35,0.35,80.0,300.0,25.0,1,0.55,150.0
3.059498277718892,1.3085475797269814,80.00400000000063,1.573973422834003,0.35,0.35,40.0,300.0,50.0,1,0.55,150.0
3.059685410512648,1.3089483310605603,80.00400000000063,1.5733630841487947,0.35,0.35,15.0,300.0,50.0,1,0.55,150.0
3.060007532236239,1.3088000044355974,80.00400000000063,1.57470722228752,0.35,0.35,80.0,300.0,50.0,1,0.55,150.0
3.065232833228581,1.3126806762508076,80.00400000000063,1.578549019936469,0.35,0.22,15.0,300.0,12.5,1,0.55,150.0
3.0694724133731177,1.315347050947113,80.00400000000063,1.5830438926457002,0.35,0.22,40.0,300.0,12.5,1,0.55,150.0
3.0728180314840188,1.31832274069463,80.00400000000063,1.584100830826798,0.35,0.22,15.0,300.0,25.0,1,0.55,150.0
3.073049415670293,1.3178901588483243,80.00400000000063,1.58599787663417,0.35,0.22,80.0,300.0,12.5,1,0.55,150.0
3.0737940460117956,1.3186304081632685,80.00400000000063,1.5860103938529078,0.35,0.22,40.0,300.0,25.0,1,0.55,150.0
3.0754349369539766,1.3197026915770342,80.00400000000063,1.587634986791237,0.35,0.22,80.0,300.0,25.0,1,0.55,150.0
3.0771455618314274,1.3211421758226387,80.00400000000063,1.588409674310798,0.35,0.22,40.0,300.0,50.0,1,0.55,150.0
3.0774544958169696,1.3216370125995243,80.00400000000063,1.5878785234783892,0.35,0.22,15.0,300.0,50.0,1,0.55,150.0
3.077616983371665,1.3213587657640908,80.00400000000063,1.5891377645930425,0.35,0.22,80.0,300.0,50.0,1,0.55,150.0
3.0906609745338263,1.3327707863212448,80.00400000000063,1.5938005377502067,0.35,0.35,15.0,600.0,12.5,1,0.55,350.0
3.1018306292195397,1.33980760870226,80.00400000000063,1.6056086300493444,0.35,0.35,40.0,600.0,12.5,1,0.55,350.0
3.1089268956864218,1.3447902731781096,80.00400000000063,1.611647492880865,0.35,0.12,15.0,300.0,12.5,1,0.55,150.0
3.1093829376918714,1.3460677328296375,80.00400000000063,1.609300585320641,0.35,0.22,15.0,600.0,12.5,1,0.55,350.0
3.109457732473862,1.3468352322011514,80.00400000000063,1.6073214293505755,0.35,0.35,15.0,600.0,25.0,1,0.55,350.0
