time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
2.440162,11.180000,11.054391,5.330000,4.753831,11.052066,5.175898
2.460165,10.980000,11.139567,4.300000,4.914475,11.077362,3.751463
2.480166,11.380000,11.253377,5.470000,5.046080,11.246610,5.488890
2.500167,11.270000,11.342864,4.830000,5.240179,11.310760,4.589644
2.520169,11.560000,11.458141,5.520000,5.390929,11.462417,5.611614
2.540158,11.450000,11.554030,4.700000,5.488453,11.514791,4.522917
2.560168,11.750000,11.675573,5.900000,5.514758,11.662887,5.651503
2.580174,11.640000,11.771118,5.260000,5.610871,11.713754,4.531643
2.600174,12.050000,11.896874,6.390000,5.543777,11.903246,6.325010
2.620175,11.860000,11.995447,5.290000,5.534155,11.949095,4.875312
2.640177,12.270000,12.116188,6.870000,5.498007,12.135737,6.614623
2.660179,12.060000,12.215465,5.890000,5.439291,12.172886,4.899646
2.680167,12.460000,12.341471,6.720000,5.414491,12.349608,6.374944
2.700167,12.360000,12.449362,6.030000,5.652642,12.421758,5.397161
2.720180,12.660000,12.557283,6.980000,5.258466,12.582042,6.488953
2.740181,12.540000,12.648216,6.250000,5.226353,12.636607,5.181949
2.760183,12.840000,12.749345,6.650000,4.827588,12.785244,6.081865
2.780182,12.740000,12.839441,5.650000,4.700041,12.838752,4.889749
2.800186,13.040000,12.935581,6.190000,4.345659,12.985931,5.858467
2.820186,12.940000,13.019494,5.270000,4.280488,13.038073,4.715944
2.840189,13.230000,13.107465,5.840000,3.974059,13.180291,5.650724
2.860190,13.120000,13.182228,4.910000,3.983964,13.225241,4.454117
2.880175,13.410000,13.267455,5.490000,3.632815,13.362725,5.409721
2.900191,13.300000,13.335974,4.870000,3.663395,13.404695,4.404907
2.920192,13.570000,13.411503,6.190000,3.275706,13.533712,5.399849
2.940195,13.350000,13.470350,5.220000,3.332368,13.528800,3.662365
2.960191,13.340000,13.546029,5.720000,3.180482,13.519135,2.527561
2.980196,13.640000,13.596442,5.110000,3.044322,13.625205,3.844704
3.000194,13.660000,13.672533,5.030000,3.024436,13.697252,3.907354
3.020199,13.790000,13.727325,4.620000,3.102458,13.790500,4.339449
3.040195,13.800000,13.805170,5.130000,3.217117,13.851420,4.068600
3.060202,13.890000,13.861832,4.860000,3.354520,13.923257,4.041209
3.080198,13.890000,13.940817,4.820000,3.470196,13.966460,3.527357
3.100206,14.000000,13.997560,4.410000,3.543539,14.033933,3.632193
3.120201,14.000000,14.075668,4.400000,3.556862,14.074070,3.161034
3.140207,14.110000,14.124972,3.900000,3.403673,14.139059,3.310905
3.160203,14.110000,14.200243,3.820000,3.256795,14.177347,2.892892
3.180209,14.300000,14.246412,3.750000,2.905038,14.272217,3.633311
3.200205,14.310000,14.313685,3.620000,2.491170,14.333994,3.438514
3.220210,14.310000,14.351686,3.080000,2.137279,14.370778,2.888300
3.240212,14.620000,14.386553,4.360000,2.098029,14.511686,4.408756
3.260215,14.420000,14.420517,3.340000,1.714922,14.522296,2.987281
3.280215,14.620000,14.443060,3.690000,1.321896,14.604354,3.444008
3.300217,14.430000,14.471908,2.320000,1.011203,14.580637,1.835257
3.320219,14.620000,14.491197,2.620000,0.726592,14.635895,2.329892
3.340219,14.420000,14.525764,1.440000,0.749968,14.590586,0.830277
3.360219,14.610000,14.542884,1.820000,0.664006,14.631828,1.496243
3.380221,14.400000,14.573008,0.750000,0.809515,14.573644,0.099868
3.400224,14.700000,14.588337,1.820000,0.893189,14.649499,1.652565
3.420224,14.420000,14.623300,0.620000,1.309348,14.587081,0.068157
3.440224,14.730000,14.644547,1.720000,1.644282,14.664869,1.638580
3.460226,14.540000,14.691186,1.050000,2.165380,14.639322,0.677195
3.480227,14.740000,14.722824,1.720000,2.424932,14.698924,1.632068
3.500230,14.620000,14.771911,1.240000,3.068350,14.689392,0.919202
3.520231,14.800000,14.834577,1.770000,3.218920,14.751760,1.768485
3.540216,14.980000,14.899292,2.670000,3.674647,14.860652,3.036909
3.560228,14.980000,14.966304,2.790000,3.617860,14.930408,3.069367
3.580231,15.170000,15.040684,3.450000,3.962194,15.048975,3.970727
3.600235,14.980000,15.114173,2.270000,3.776180,15.051590,2.453165
3.620235,15.290000,15.192244,3.230000,4.005756,15.172922,3.736965
3.640239,15.190000,15.271963,2.840000,3.809914,15.211628,2.992063
3.660242,15.500000,15.346191,4.010000,3.947894,15.356077,4.450157
3.680240,15.310000,15.422546,3.060000,3.513902,15.374655,3.049994
3.700240,15.610000,15.494463,3.890000,3.638481,15.501949,4.193632
3.720245,15.420000,15.565142,2.810000,3.199127,15.508834,2.722528
3.740242,15.810000,15.629671,4.100000,3.168286,15.662962,4.495070
3.760247,15.610000,15.687030,3.120000,2.788100,15.683049,3.124529
3.780247,15.810000,15.746343,3.410000,2.932463,15.771850,3.581374
3.800248,15.710000,15.795765,2.640000,2.804418,15.788088,2.552463
3.820248,16.010000,15.864210,3.540000,2.840094,15.912564,3.868066
3.840249,15.810000,15.914164,2.490000,2.695398,15.912798,2.421916
3.860253,16.120000,15.984455,3.380000,2.669159,16.030916,3.692414
3.880251,15.920000,16.021045,2.400000,2.623851,16.027055,2.271905
